@relation observations.arff

@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute GOTO numeric
@attribute INVOCATIONS numeric
@attribute THROWS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute FIELDS_WRITTEN numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
17,4,7,2,0,3,0,18,7,8,2,7,?
15,3,6,2,0,2,0,16,6,7,2,6,?
22,3,6,8,0,2,0,22,6,10,1,6,?
16,3,6,2,0,2,0,16,6,7,1,6,?
14,2,5,2,0,1,0,14,5,6,1,5,?
35,5,8,18,0,4,0,36,8,17,2,8,?
29,5,8,12,0,4,0,30,8,14,2,8,?
27,4,7,12,0,3,0,28,7,13,2,7,?
33,5,8,16,0,4,0,34,8,16,2,8,?
27,5,8,10,0,4,0,28,8,13,2,8,?
25,4,7,10,0,3,0,26,7,12,2,7,?
32,4,7,16,0,3,0,32,7,15,1,7,?
26,4,7,10,0,3,0,26,7,12,1,7,?
24,3,6,10,0,2,0,24,6,11,1,6,?
25,5,8,8,0,4,0,26,8,12,2,8,?
19,5,8,2,0,4,0,20,8,9,2,8,?
17,4,7,2,0,3,0,18,7,8,2,7,?
23,5,8,6,0,4,0,24,8,11,2,8,?
17,5,8,0,0,4,0,18,8,8,2,8,?
15,4,7,0,0,3,0,16,7,7,2,7,?
22,4,7,6,0,3,0,22,7,10,1,7,?
16,4,7,0,0,3,0,16,7,7,1,7,?
14,3,6,0,0,2,0,14,6,6,1,6,?
23,4,7,8,0,3,0,24,7,11,2,7,?
17,4,7,2,0,3,0,18,7,8,2,7,?
15,3,6,2,0,2,0,16,6,7,2,6,?
21,4,7,6,0,3,0,22,7,10,2,7,?
15,4,7,0,0,3,0,16,7,7,2,7,?
13,3,6,0,0,2,0,14,6,6,2,6,?
20,3,6,6,0,2,0,20,6,9,1,6,?
14,3,6,0,0,2,0,14,6,6,1,6,?
