@relation training_50.arff

@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute GOTO numeric
@attribute INVOCATIONS numeric
@attribute THROWS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute FIELDS_WRITTEN numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
23,4,7,6,0,3,0,23,7,11,2,7,hot
15,3,6,0,0,2,0,15,6,7,2,6,hot
16,3,6,0,0,2,0,15,6,7,1,6,hot
36,4,7,18,0,3,0,35,7,17,1,7,cold
28,3,6,12,0,2,0,27,6,13,1,6,hot
28,4,7,10,0,3,0,27,7,13,1,7,hot
33,3,6,16,0,2,0,31,6,15,0,6,hot
25,2,5,10,0,1,0,23,5,11,0,5,hot
20,4,7,2,0,3,0,19,7,9,1,7,hot
24,4,7,6,0,3,0,23,7,11,1,7,hot
16,3,6,0,0,2,0,15,6,7,1,6,hot
17,3,6,0,0,2,0,15,6,7,0,6,hot
24,3,6,8,0,2,0,23,6,11,1,6,hot
16,2,5,2,0,1,0,15,5,7,1,5,hot
16,3,6,0,0,2,0,15,6,7,1,6,hot
21,2,5,6,0,1,0,19,5,9,0,5,hot
13,1,4,0,0,0,0,11,4,5,0,4,hot
15,4,4,2,0,3,0,14,4,7,1,4,hot
75,8,4,26,0,7,4,49,4,35,1,4,cold
11,3,3,0,0,2,0,10,3,5,1,3,hot
12,3,3,0,0,2,0,10,3,5,0,3,hot
79,8,4,28,0,7,4,52,4,37,1,4,cold
15,3,3,2,0,2,0,13,3,7,1,3,hot
15,4,4,0,0,3,0,13,4,7,1,4,hot
76,7,3,26,0,6,4,48,3,35,0,3,cold
12,2,2,0,0,1,0,9,2,5,0,2,hot
18,2,5,6,0,1,0,18,3,7,0,1,hot
12,2,3,5,0,1,0,13,2,5,0,1,hot
1,1,0,1,0,0,0,3,0,0,0,0,hot
23,5,3,4,0,3,3,18,2,10,2,0,hot
3,0,0,1,0,0,1,3,0,1,0,0,hot
11,2,3,2,0,0,0,8,3,2,0,2,hot
27,6,5,3,0,4,0,16,5,8,0,3,hot
5,2,2,0,0,0,0,5,2,0,0,1,hot
2,1,0,1,0,0,0,3,0,0,0,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
46,7,4,9,0,4,0,25,2,10,0,2,hot
33,7,1,6,0,4,0,17,1,7,0,1,hot
6,1,1,1,0,0,0,5,1,2,0,0,hot
17,4,2,3,0,2,1,12,2,6,0,2,hot
2,1,0,1,0,0,0,3,0,0,0,0,hot
4,2,1,0,0,2,0,4,1,2,0,0,hot
2,1,0,1,0,0,0,3,0,0,0,0,hot
67,3,6,21,0,0,5,45,4,29,0,4,cold
88,3,8,27,0,0,7,57,6,35,0,5,cold
86,3,8,26,0,0,7,56,6,35,0,5,cold
58,3,6,17,0,0,4,40,4,25,0,4,cold
79,3,8,23,0,0,6,52,6,31,0,5,cold
77,3,8,22,0,0,6,51,6,31,0,5,cold
7,2,0,2,0,1,0,6,0,2,0,0,hot
57,5,5,18,0,3,3,35,4,23,0,2,hot
40,4,4,11,0,2,2,25,3,16,0,2,hot
56,5,4,18,0,3,3,34,4,23,0,2,hot
39,4,3,11,0,2,2,24,3,16,0,2,hot
29,3,3,10,0,1,1,19,1,11,0,1,hot
8,2,0,2,0,1,0,6,0,2,0,0,hot
47,6,8,7,0,0,0,26,7,16,0,5,hot
39,5,7,5,0,0,0,22,6,13,0,4,hot
12,1,2,2,1,0,1,9,2,4,0,1,hot
5,1,2,1,0,0,0,5,2,1,0,1,hot
31,3,8,5,0,0,0,21,6,10,0,2,hot
50,5,8,11,0,1,1,30,7,18,0,2,hot
33,3,8,5,0,0,0,21,7,11,0,2,hot
15,1,4,3,0,0,0,11,4,5,0,1,hot
38,5,0,13,0,3,2,21,0,16,0,0,hot
29,1,3,4,0,0,1,16,2,11,0,2,hot
12,1,0,4,0,0,1,8,0,4,0,0,hot
23,4,3,1,0,0,1,13,3,4,0,1,hot
16,4,2,1,0,0,1,10,2,2,0,1,hot
0,0,0,0,0,0,0,1,0,0,0,0,hot
11,1,0,3,0,0,0,7,0,4,0,0,hot
2,1,0,1,0,0,0,3,0,0,0,0,hot
11,1,0,5,0,1,1,8,0,6,1,0,hot
73,31,3,7,0,26,2,48,3,35,15,1,cold
72,30,3,7,0,25,2,47,3,34,14,1,cold
72,30,3,7,0,25,2,47,3,34,14,1,cold
71,29,3,7,0,24,2,46,3,33,13,1,cold
103,15,11,11,0,14,0,56,9,40,2,2,cold
125,21,15,12,0,20,0,69,13,47,3,3,cold
121,20,14,11,0,19,0,66,12,46,3,2,cold
148,23,17,14,0,22,0,79,14,54,4,2,cold
141,22,18,12,0,21,0,76,16,52,3,3,cold
117,16,14,12,0,15,0,63,12,44,2,2,cold
139,22,18,13,0,21,0,76,16,51,3,3,cold
135,21,17,12,0,20,0,73,15,50,3,2,cold
128,22,14,13,0,21,0,70,11,48,4,2,cold
121,21,15,11,0,20,0,67,13,46,3,3,cold
117,16,14,12,0,15,0,63,12,44,2,2,cold
139,22,18,13,0,21,0,76,16,51,3,3,cold
135,21,17,12,0,20,0,73,15,50,3,2,cold
142,23,17,14,0,22,0,77,14,52,4,2,cold
135,22,18,12,0,21,0,74,16,50,3,3,cold
102,15,11,11,0,14,0,55,9,39,2,2,cold
124,21,15,12,0,20,0,68,13,46,3,3,cold
120,20,14,11,0,19,0,65,12,45,3,2,cold
147,23,17,14,0,22,0,78,14,53,4,2,cold
140,22,18,12,0,21,0,75,16,51,3,3,cold
116,16,14,12,0,15,0,62,12,43,2,2,cold
138,22,18,13,0,21,0,75,16,50,3,3,cold
134,21,17,12,0,20,0,72,15,49,3,2,cold
127,22,14,13,0,21,0,69,11,47,4,2,cold
120,21,15,11,0,20,0,66,13,45,3,3,cold
116,16,14,12,0,15,0,62,12,43,2,2,cold
138,22,18,13,0,21,0,75,16,50,3,3,cold
134,21,17,12,0,20,0,72,15,49,3,2,cold
141,23,17,14,0,22,0,76,14,51,4,2,cold
134,22,18,12,0,21,0,73,16,49,3,3,cold
109,21,10,12,0,20,0,60,7,42,4,2,cold
102,20,11,10,0,19,0,57,9,40,3,3,cold
42,8,4,7,0,7,0,27,3,18,1,1,hot
98,15,9,11,0,14,0,52,8,38,2,2,cold
120,21,13,12,0,20,0,65,12,45,3,3,cold
116,20,12,11,0,19,0,62,11,44,3,2,cold
143,23,15,14,0,22,0,75,13,52,4,2,cold
136,22,16,12,0,21,0,72,15,50,3,3,cold
112,16,12,12,0,15,0,59,11,42,2,2,cold
134,22,16,13,0,21,0,72,15,49,3,3,cold
130,21,15,12,0,20,0,69,14,48,3,2,cold
123,22,12,13,0,21,0,66,10,46,4,2,cold
116,21,13,11,0,20,0,63,12,44,3,3,cold
112,16,12,12,0,15,0,59,11,42,2,2,cold
134,22,16,13,0,21,0,72,15,49,3,3,cold
130,21,15,12,0,20,0,69,14,48,3,2,cold
137,23,15,14,0,22,0,73,13,50,4,2,cold
130,22,16,12,0,21,0,70,15,48,3,3,cold
97,15,9,11,0,14,0,51,8,37,2,2,cold
119,21,13,12,0,20,0,64,12,44,3,3,cold
115,20,12,11,0,19,0,61,11,43,3,2,cold
142,23,15,14,0,22,0,74,13,51,4,2,cold
135,22,16,12,0,21,0,71,15,49,3,3,cold
111,16,12,12,0,15,0,58,11,41,2,2,cold
133,22,16,13,0,21,0,71,15,48,3,3,cold
129,21,15,12,0,20,0,68,14,47,3,2,cold
122,22,12,13,0,21,0,65,10,45,4,2,cold
115,21,13,11,0,20,0,62,12,43,3,3,cold
111,16,12,12,0,15,0,58,11,41,2,2,cold
133,22,16,13,0,21,0,71,15,48,3,3,cold
129,21,15,12,0,20,0,68,14,47,3,2,cold
136,23,15,14,0,22,0,72,13,49,4,2,cold
129,22,16,12,0,21,0,69,15,47,3,3,cold
104,21,8,12,0,20,0,56,6,40,4,2,cold
97,20,9,10,0,19,0,53,8,38,3,3,cold
37,8,2,7,0,7,0,23,2,16,1,1,hot
177,46,11,2,0,37,0,89,10,73,7,2,cold
149,37,10,2,0,28,0,77,9,63,7,2,cold
159,39,11,2,0,30,0,81,10,66,6,2,cold
164,42,9,3,0,33,0,83,8,69,8,2,cold
174,44,10,3,0,35,0,87,9,72,7,2,cold
156,39,10,1,0,30,0,79,9,65,6,2,cold
183,46,11,4,0,36,0,93,10,76,8,2,cold
193,48,12,4,0,38,0,97,11,79,7,2,cold
175,43,12,2,0,33,0,89,11,72,6,2,cold
152,34,8,2,0,24,0,75,8,62,3,1,cold
190,48,11,3,0,38,0,95,10,78,7,2,cold
162,39,10,3,0,29,0,83,9,68,7,2,cold
172,41,11,3,0,31,0,87,10,71,6,2,cold
150,39,10,1,0,31,0,75,9,61,5,2,cold
122,30,9,1,0,22,0,63,8,51,5,2,cold
132,32,10,1,0,24,0,67,9,54,4,2,cold
137,35,8,2,0,27,0,69,7,57,6,2,cold
147,37,9,2,0,29,0,73,8,60,5,2,cold
129,32,9,0,0,24,0,65,8,53,4,2,cold
160,41,10,3,0,33,0,82,9,67,8,2,cold
170,43,11,3,0,35,0,86,10,70,7,2,cold
152,38,11,1,0,30,0,78,10,63,6,2,cold
129,29,7,1,0,21,0,64,7,53,3,1,cold
167,43,10,2,0,35,0,84,9,69,7,2,cold
139,34,9,2,0,26,0,72,8,59,7,2,cold
149,36,10,2,0,28,0,76,9,62,6,2,cold
186,47,12,3,0,38,0,94,11,76,7,2,cold
158,38,11,3,0,29,0,82,10,66,7,2,cold
168,40,12,3,0,31,0,86,11,69,6,2,cold
173,43,10,4,0,34,0,88,9,72,8,2,cold
183,45,11,4,0,36,0,92,10,75,7,2,cold
165,40,11,2,0,31,0,84,10,68,6,2,cold
133,34,9,2,0,27,0,68,8,55,6,2,cold
143,36,10,2,0,29,0,72,9,58,5,2,cold
125,31,10,0,0,24,0,64,9,51,4,2,cold
102,22,6,0,0,15,0,50,6,41,1,1,cold
140,36,9,1,0,29,0,70,8,57,5,2,cold
112,27,8,1,0,20,0,58,7,47,5,2,cold
122,29,9,1,0,22,0,62,8,50,4,2,cold
162,44,11,2,0,36,0,82,10,66,7,2,cold
134,35,10,2,0,27,0,70,9,56,7,2,cold
144,37,11,2,0,29,0,74,10,59,6,2,cold
149,40,9,3,0,32,0,76,8,62,8,2,cold
159,42,10,3,0,34,0,80,9,65,7,2,cold
141,37,10,1,0,29,0,72,9,58,6,2,cold
168,44,11,4,0,35,0,86,10,69,8,2,cold
178,46,12,4,0,37,0,90,11,72,7,2,cold
160,41,12,2,0,32,0,82,11,65,6,2,cold
137,32,8,2,0,23,0,68,8,55,3,1,cold
175,46,11,3,0,37,0,88,10,71,7,2,cold
147,37,10,3,0,28,0,76,9,61,7,2,cold
157,39,11,3,0,30,0,80,10,64,6,2,cold
135,37,10,1,0,30,0,68,9,54,5,2,cold
107,28,9,1,0,21,0,56,8,44,5,2,cold
117,30,10,1,0,23,0,60,9,47,4,2,cold
122,33,8,2,0,26,0,62,7,50,6,2,cold
132,35,9,2,0,28,0,66,8,53,5,2,cold
114,30,9,0,0,23,0,58,8,46,4,2,cold
145,39,10,3,0,32,0,75,9,60,8,2,cold
155,41,11,3,0,34,0,79,10,63,7,2,cold
137,36,11,1,0,29,0,71,10,56,6,2,cold
114,27,7,1,0,20,0,57,7,46,3,1,cold
152,41,10,2,0,34,0,77,9,62,7,2,cold
124,32,9,2,0,25,0,65,8,52,7,2,cold
134,34,10,2,0,27,0,69,9,55,6,2,cold
171,45,12,3,0,37,0,87,11,69,7,2,cold
143,36,11,3,0,28,0,75,10,59,7,2,cold
153,38,12,3,0,30,0,79,11,62,6,2,cold
158,41,10,4,0,33,0,81,9,65,8,2,cold
168,43,11,4,0,35,0,85,10,68,7,2,cold
150,38,11,2,0,30,0,77,10,61,6,2,cold
118,32,9,2,0,26,0,61,8,48,6,2,cold
128,34,10,2,0,28,0,65,9,51,5,2,cold
110,29,10,0,0,23,0,57,9,44,4,2,cold
87,20,6,0,0,14,0,43,6,34,1,1,cold
125,34,9,1,0,28,0,63,8,50,5,2,cold
97,25,8,1,0,19,0,51,7,40,5,2,cold
107,27,9,1,0,21,0,55,8,43,4,2,cold
25,9,2,0,0,7,0,16,2,11,2,0,hot
27,10,4,2,0,9,0,20,3,12,4,0,hot
31,11,4,2,0,10,0,21,3,13,4,0,hot
30,11,2,2,0,10,0,19,2,13,4,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
6,4,0,0,0,2,0,5,0,2,2,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
7,5,0,0,0,2,0,6,0,2,2,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
7,3,2,0,0,2,0,6,1,2,0,1,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
22,3,3,6,0,2,1,14,3,8,0,0,hot
22,4,2,5,1,3,2,14,2,8,0,0,hot
26,2,5,6,0,1,0,17,4,10,0,3,hot
10,2,1,2,0,1,0,7,1,4,0,1,hot
4,1,1,1,0,0,0,4,1,1,0,1,hot
12,3,3,2,0,2,0,9,3,4,0,2,hot
36,4,8,9,0,3,0,24,7,14,0,4,hot
19,4,4,4,0,3,0,13,4,7,0,3,hot
31,3,7,8,0,2,0,21,6,12,0,4,hot
14,3,3,3,0,2,0,10,3,5,0,3,hot
62,7,6,19,0,5,3,37,5,23,0,5,cold
46,6,6,13,0,4,2,29,5,17,0,5,cold
43,7,4,11,0,5,2,26,4,16,0,4,hot
27,6,4,5,0,4,1,18,4,10,0,4,hot
36,6,3,9,0,4,2,22,3,13,0,3,hot
20,5,3,3,0,3,1,14,3,7,0,3,hot
218,34,18,26,0,31,0,104,11,62,0,3,cold
218,34,18,26,0,31,0,104,11,62,0,3,cold
213,33,16,25,0,30,0,100,10,60,0,3,cold
213,33,16,25,0,30,0,100,10,60,0,3,cold
218,34,18,26,0,31,0,104,11,62,0,3,cold
213,33,16,25,0,30,0,100,10,60,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
213,33,16,25,0,30,0,100,10,60,0,3,cold
208,32,14,24,0,29,0,96,9,58,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
218,34,15,26,0,31,0,101,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
208,32,13,24,0,29,0,95,9,58,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
218,34,15,26,0,31,0,101,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
208,32,13,24,0,29,0,95,9,58,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
218,34,14,26,0,31,0,100,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
208,32,12,24,0,29,0,94,9,58,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
218,34,17,26,0,31,0,103,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
218,34,15,26,0,31,0,101,11,62,0,3,cold
213,33,15,25,0,30,0,99,10,60,0,3,cold
208,32,13,24,0,29,0,95,9,58,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
218,34,14,26,0,31,0,100,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
208,32,12,24,0,29,0,94,9,58,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
218,34,16,26,0,31,0,102,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
218,34,14,26,0,31,0,100,11,62,0,3,cold
213,33,14,25,0,30,0,98,10,60,0,3,cold
208,32,12,24,0,29,0,94,9,58,0,3,cold
218,34,15,26,0,31,0,101,11,62,0,3,cold
218,34,15,26,0,31,0,101,11,62,0,3,cold
213,33,13,25,0,30,0,97,10,60,0,3,cold
213,33,13,25,0,30,0,97,10,60,0,3,cold
218,34,15,26,0,31,0,101,11,62,0,3,cold
213,33,13,25,0,30,0,97,10,60,0,3,cold
218,34,13,26,0,31,0,99,11,62,0,3,cold
213,33,13,25,0,30,0,97,10,60,0,3,cold
208,32,11,24,0,29,0,93,9,58,0,3,cold
215,33,16,26,0,30,0,101,10,61,0,2,cold
215,33,16,26,0,30,0,101,10,61,0,2,cold
210,32,14,25,0,29,0,97,9,59,0,2,cold
210,32,14,25,0,29,0,97,9,59,0,2,cold
215,33,16,26,0,30,0,101,10,61,0,2,cold
210,32,14,25,0,29,0,97,9,59,0,2,cold
215,33,14,26,0,30,0,99,10,61,0,2,cold
210,32,14,25,0,29,0,97,9,59,0,2,cold
205,31,12,24,0,28,0,93,8,57,0,2,cold
215,33,15,26,0,30,0,100,10,61,0,2,cold
215,33,15,26,0,30,0,100,10,61,0,2,cold
210,32,13,25,0,29,0,96,9,59,0,2,cold
210,32,13,25,0,29,0,96,9,59,0,2,cold
215,33,15,26,0,30,0,100,10,61,0,2,cold
210,32,13,25,0,29,0,96,9,59,0,2,cold
215,33,13,26,0,30,0,98,10,61,0,2,cold
210,32,13,25,0,29,0,96,9,59,0,2,cold
205,31,11,24,0,28,0,92,8,57,0,2,cold
215,33,15,26,0,30,0,100,10,61,0,2,cold
215,33,15,26,0,30,0,100,10,61,0,2,cold
210,32,13,25,0,29,0,96,9,59,0,2,cold
210,32,13,25,0,29,0,96,9,59,0,2,cold
215,33,15,26,0,30,0,100,10,61,0,2,cold
210,32,13,25,0,29,0,96,9,59,0,2,cold
215,33,13,26,0,30,0,98,10,61,0,2,cold
210,32,13,25,0,29,0,96,9,59,0,2,cold
205,31,11,24,0,28,0,92,8,57,0,2,cold
215,33,14,26,0,30,0,99,10,61,0,2,cold
215,33,14,26,0,30,0,99,10,61,0,2,cold
210,32,12,25,0,29,0,95,9,59,0,2,cold
210,32,12,25,0,29,0,95,9,59,0,2,cold
215,33,14,26,0,30,0,99,10,61,0,2,cold
210,32,12,25,0,29,0,95,9,59,0,2,cold
215,33,12,26,0,30,0,97,10,61,0,2,cold
