@relation training_50.arff

@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute THROWS numeric
@attribute GOTO numeric
@attribute IF numeric
@attribute STATEMENTS numeric
@attribute NEW numeric
@attribute LOCALS numeric
@attribute INVOCATIONS numeric
@attribute EQUAL numeric
@attribute FIELDS_WRITTEN numeric
@attribute DEREFERNCES numeric
@attribute class {hot,cold}

@data
2,13,0,6,6,27,0,28,12,6,1,3,?
3,13,0,7,7,27,0,28,10,7,1,4,?
2,15,0,6,6,31,0,33,16,6,0,3,?
1,11,0,5,5,23,0,25,10,5,0,2,?
3,9,0,7,7,19,0,20,2,7,1,4,?
3,11,0,7,7,23,0,24,6,7,1,4,?
2,7,0,6,6,15,0,16,0,6,1,3,?
2,7,0,6,6,15,0,17,0,6,0,3,?
2,11,0,6,6,23,0,24,8,6,1,3,?
1,7,0,5,5,15,0,16,2,5,1,2,?
2,7,0,6,6,15,0,16,0,6,1,3,?
1,9,0,5,5,19,0,21,6,5,0,2,?
0,5,0,4,4,11,0,13,0,4,0,1,?
3,7,0,4,4,14,0,15,2,4,1,4,?
7,35,0,4,4,49,4,75,26,4,1,8,?
2,5,0,3,3,10,0,11,0,3,1,3,?
2,5,0,3,3,10,0,12,0,3,0,3,?
7,37,0,4,4,52,4,79,28,4,1,8,?
2,7,0,3,3,13,0,15,2,3,1,3,?
3,7,0,4,4,13,0,15,0,4,1,4,?
6,35,0,3,3,48,4,76,26,3,0,7,?
1,5,0,2,2,9,0,12,0,2,0,2,?
1,7,0,5,3,18,0,18,6,1,0,2,?
1,5,0,3,2,13,0,12,5,1,0,2,?
0,0,0,0,0,3,0,1,1,0,0,1,?
3,10,0,3,2,18,3,23,4,0,2,5,?
0,1,0,0,0,3,1,3,1,0,0,0,?
0,2,0,3,3,8,0,11,2,2,0,2,?
4,8,0,5,5,16,0,27,3,3,0,6,?
0,0,0,2,2,5,0,5,0,1,0,2,?
0,0,0,0,0,3,0,2,1,0,0,1,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
4,10,0,4,2,25,0,46,9,2,0,7,?
4,7,0,1,1,17,0,33,6,1,0,7,?
0,2,0,1,1,5,0,6,1,0,0,1,?
2,6,0,2,2,12,1,17,3,2,0,4,?
0,0,0,0,0,3,0,2,1,0,0,1,?
2,2,0,1,1,4,0,4,0,0,0,2,?
0,0,0,0,0,3,0,2,1,0,0,1,?
0,29,0,6,4,45,5,67,21,4,0,3,?
0,35,0,8,6,57,7,88,27,5,0,3,?
0,35,0,8,6,56,7,86,26,5,0,3,?
0,25,0,6,4,40,4,58,17,4,0,3,?
0,31,0,8,6,52,6,79,23,5,0,3,?
0,31,0,8,6,51,6,77,22,5,0,3,?
1,2,0,0,0,6,0,7,2,0,0,2,?
3,23,0,5,4,35,3,57,18,2,0,5,?
2,16,0,4,3,25,2,40,11,2,0,4,?
3,23,0,4,4,34,3,56,18,2,0,5,?
2,16,0,3,3,24,2,39,11,2,0,4,?
1,11,0,3,1,19,1,29,10,1,0,3,?
1,2,0,0,0,6,0,8,2,0,0,2,?
0,16,0,8,7,26,0,47,7,5,0,6,?
0,13,0,7,6,22,0,39,5,4,0,5,?
0,4,1,2,2,9,1,12,2,1,0,1,?
0,1,0,2,2,5,0,5,1,1,0,1,?
0,10,0,8,6,21,0,31,5,2,0,3,?
1,18,0,8,7,30,1,50,11,2,0,5,?
0,11,0,8,7,21,0,33,5,2,0,3,?
0,5,0,4,4,11,0,15,3,1,0,1,?
3,16,0,0,0,21,2,38,13,0,0,5,?
0,11,0,3,2,16,1,29,4,2,0,1,?
0,4,0,0,0,8,1,12,4,0,0,1,?
0,4,0,3,3,13,1,23,1,1,0,4,?
0,2,0,2,2,10,1,16,1,1,0,4,?
0,0,0,0,0,1,0,0,0,0,0,0,?
0,4,0,0,0,7,0,11,3,0,0,1,?
0,0,0,0,0,3,0,2,1,0,0,1,?
1,6,0,0,0,8,1,11,5,0,1,1,?
26,35,0,3,3,48,2,73,7,1,15,31,?
25,34,0,3,3,47,2,72,7,1,14,30,?
25,34,0,3,3,47,2,72,7,1,14,30,?
24,33,0,3,3,46,2,71,7,1,13,29,?
14,40,0,11,9,56,0,103,11,2,2,15,?
20,47,0,15,13,69,0,125,12,3,3,21,?
19,46,0,14,12,66,0,121,11,2,3,20,?
22,54,0,17,14,79,0,148,14,2,4,23,?
21,52,0,18,16,76,0,141,12,3,3,22,?
15,44,0,14,12,63,0,117,12,2,2,16,?
21,51,0,18,16,76,0,139,13,3,3,22,?
20,50,0,17,15,73,0,135,12,2,3,21,?
21,48,0,14,11,70,0,128,13,2,4,22,?
20,46,0,15,13,67,0,121,11,3,3,21,?
15,44,0,14,12,63,0,117,12,2,2,16,?
21,51,0,18,16,76,0,139,13,3,3,22,?
20,50,0,17,15,73,0,135,12,2,3,21,?
22,52,0,17,14,77,0,142,14,2,4,23,?
21,50,0,18,16,74,0,135,12,3,3,22,?
14,39,0,11,9,55,0,102,11,2,2,15,?
20,46,0,15,13,68,0,124,12,3,3,21,?
19,45,0,14,12,65,0,120,11,2,3,20,?
22,53,0,17,14,78,0,147,14,2,4,23,?
21,51,0,18,16,75,0,140,12,3,3,22,?
15,43,0,14,12,62,0,116,12,2,2,16,?
21,50,0,18,16,75,0,138,13,3,3,22,?
20,49,0,17,15,72,0,134,12,2,3,21,?
21,47,0,14,11,69,0,127,13,2,4,22,?
20,45,0,15,13,66,0,120,11,3,3,21,?
15,43,0,14,12,62,0,116,12,2,2,16,?
21,50,0,18,16,75,0,138,13,3,3,22,?
20,49,0,17,15,72,0,134,12,2,3,21,?
22,51,0,17,14,76,0,141,14,2,4,23,?
21,49,0,18,16,73,0,134,12,3,3,22,?
20,42,0,10,7,60,0,109,12,2,4,21,?
19,40,0,11,9,57,0,102,10,3,3,20,?
7,18,0,4,3,27,0,42,7,1,1,8,?
14,38,0,9,8,52,0,98,11,2,2,15,?
20,45,0,13,12,65,0,120,12,3,3,21,?
19,44,0,12,11,62,0,116,11,2,3,20,?
22,52,0,15,13,75,0,143,14,2,4,23,?
21,50,0,16,15,72,0,136,12,3,3,22,?
15,42,0,12,11,59,0,112,12,2,2,16,?
21,49,0,16,15,72,0,134,13,3,3,22,?
20,48,0,15,14,69,0,130,12,2,3,21,?
21,46,0,12,10,66,0,123,13,2,4,22,?
20,44,0,13,12,63,0,116,11,3,3,21,?
15,42,0,12,11,59,0,112,12,2,2,16,?
21,49,0,16,15,72,0,134,13,3,3,22,?
20,48,0,15,14,69,0,130,12,2,3,21,?
22,50,0,15,13,73,0,137,14,2,4,23,?
21,48,0,16,15,70,0,130,12,3,3,22,?
14,37,0,9,8,51,0,97,11,2,2,15,?
20,44,0,13,12,64,0,119,12,3,3,21,?
19,43,0,12,11,61,0,115,11,2,3,20,?
22,51,0,15,13,74,0,142,14,2,4,23,?
21,49,0,16,15,71,0,135,12,3,3,22,?
15,41,0,12,11,58,0,111,12,2,2,16,?
21,48,0,16,15,71,0,133,13,3,3,22,?
20,47,0,15,14,68,0,129,12,2,3,21,?
21,45,0,12,10,65,0,122,13,2,4,22,?
20,43,0,13,12,62,0,115,11,3,3,21,?
15,41,0,12,11,58,0,111,12,2,2,16,?
21,48,0,16,15,71,0,133,13,3,3,22,?
20,47,0,15,14,68,0,129,12,2,3,21,?
22,49,0,15,13,72,0,136,14,2,4,23,?
21,47,0,16,15,69,0,129,12,3,3,22,?
20,40,0,8,6,56,0,104,12,2,4,21,?
19,38,0,9,8,53,0,97,10,3,3,20,?
7,16,0,2,2,23,0,37,7,1,1,8,?
37,73,0,11,10,89,0,177,2,2,7,46,?
28,63,0,10,9,77,0,149,2,2,7,37,?
30,66,0,11,10,81,0,159,2,2,6,39,?
33,69,0,9,8,83,0,164,3,2,8,42,?
35,72,0,10,9,87,0,174,3,2,7,44,?
30,65,0,10,9,79,0,156,1,2,6,39,?
36,76,0,11,10,93,0,183,4,2,8,46,?
38,79,0,12,11,97,0,193,4,2,7,48,?
33,72,0,12,11,89,0,175,2,2,6,43,?
24,62,0,8,8,75,0,152,2,1,3,34,?
38,78,0,11,10,95,0,190,3,2,7,48,?
29,68,0,10,9,83,0,162,3,2,7,39,?
31,71,0,11,10,87,0,172,3,2,6,41,?
31,61,0,10,9,75,0,150,1,2,5,39,?
22,51,0,9,8,63,0,122,1,2,5,30,?
24,54,0,10,9,67,0,132,1,2,4,32,?
27,57,0,8,7,69,0,137,2,2,6,35,?
29,60,0,9,8,73,0,147,2,2,5,37,?
24,53,0,9,8,65,0,129,0,2,4,32,?
33,67,0,10,9,82,0,160,3,2,8,41,?
35,70,0,11,10,86,0,170,3,2,7,43,?
30,63,0,11,10,78,0,152,1,2,6,38,?
21,53,0,7,7,64,0,129,1,1,3,29,?
35,69,0,10,9,84,0,167,2,2,7,43,?
26,59,0,9,8,72,0,139,2,2,7,34,?
28,62,0,10,9,76,0,149,2,2,6,36,?
38,76,0,12,11,94,0,186,3,2,7,47,?
29,66,0,11,10,82,0,158,3,2,7,38,?
31,69,0,12,11,86,0,168,3,2,6,40,?
34,72,0,10,9,88,0,173,4,2,8,43,?
36,75,0,11,10,92,0,183,4,2,7,45,?
31,68,0,11,10,84,0,165,2,2,6,40,?
27,55,0,9,8,68,0,133,2,2,6,34,?
29,58,0,10,9,72,0,143,2,2,5,36,?
24,51,0,10,9,64,0,125,0,2,4,31,?
15,41,0,6,6,50,0,102,0,1,1,22,?
29,57,0,9,8,70,0,140,1,2,5,36,?
20,47,0,8,7,58,0,112,1,2,5,27,?
22,50,0,9,8,62,0,122,1,2,4,29,?
36,66,0,11,10,82,0,162,2,2,7,44,?
27,56,0,10,9,70,0,134,2,2,7,35,?
29,59,0,11,10,74,0,144,2,2,6,37,?
32,62,0,9,8,76,0,149,3,2,8,40,?
34,65,0,10,9,80,0,159,3,2,7,42,?
29,58,0,10,9,72,0,141,1,2,6,37,?
35,69,0,11,10,86,0,168,4,2,8,44,?
37,72,0,12,11,90,0,178,4,2,7,46,?
32,65,0,12,11,82,0,160,2,2,6,41,?
23,55,0,8,8,68,0,137,2,1,3,32,?
37,71,0,11,10,88,0,175,3,2,7,46,?
28,61,0,10,9,76,0,147,3,2,7,37,?
30,64,0,11,10,80,0,157,3,2,6,39,?
30,54,0,10,9,68,0,135,1,2,5,37,?
21,44,0,9,8,56,0,107,1,2,5,28,?
23,47,0,10,9,60,0,117,1,2,4,30,?
26,50,0,8,7,62,0,122,2,2,6,33,?
28,53,0,9,8,66,0,132,2,2,5,35,?
23,46,0,9,8,58,0,114,0,2,4,30,?
32,60,0,10,9,75,0,145,3,2,8,39,?
34,63,0,11,10,79,0,155,3,2,7,41,?
29,56,0,11,10,71,0,137,1,2,6,36,?
20,46,0,7,7,57,0,114,1,1,3,27,?
34,62,0,10,9,77,0,152,2,2,7,41,?
25,52,0,9,8,65,0,124,2,2,7,32,?
27,55,0,10,9,69,0,134,2,2,6,34,?
37,69,0,12,11,87,0,171,3,2,7,45,?
28,59,0,11,10,75,0,143,3,2,7,36,?
30,62,0,12,11,79,0,153,3,2,6,38,?
33,65,0,10,9,81,0,158,4,2,8,41,?
35,68,0,11,10,85,0,168,4,2,7,43,?
30,61,0,11,10,77,0,150,2,2,6,38,?
26,48,0,9,8,61,0,118,2,2,6,32,?
28,51,0,10,9,65,0,128,2,2,5,34,?
23,44,0,10,9,57,0,110,0,2,4,29,?
14,34,0,6,6,43,0,87,0,1,1,20,?
28,50,0,9,8,63,0,125,1,2,5,34,?
19,40,0,8,7,51,0,97,1,2,5,25,?
21,43,0,9,8,55,0,107,1,2,4,27,?
7,11,0,2,2,16,0,25,0,0,2,9,?
9,12,0,4,3,20,0,27,2,0,4,10,?
10,13,0,4,3,21,0,31,2,0,4,11,?
10,13,0,2,2,19,0,30,2,0,4,11,?
1,1,0,0,0,3,0,4,0,0,0,2,?
2,2,0,0,0,5,0,6,0,0,2,4,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
2,2,0,0,0,6,0,7,0,0,2,5,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
1,1,0,0,0,3,0,4,0,0,0,2,?
2,2,0,2,1,6,0,7,0,1,0,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,4,0,4,0,0,1,3,?
2,8,0,3,3,14,1,22,6,0,0,3,?
3,8,1,2,2,14,2,22,5,0,0,4,?
1,10,0,5,4,17,0,26,6,3,0,2,?
1,4,0,1,1,7,0,10,2,1,0,2,?
0,1,0,1,1,4,0,4,1,1,0,1,?
2,4,0,3,3,9,0,12,2,2,0,3,?
3,14,0,8,7,24,0,36,9,4,0,4,?
3,7,0,4,4,13,0,19,4,3,0,4,?
2,12,0,7,6,21,0,31,8,4,0,3,?
2,5,0,3,3,10,0,14,3,3,0,3,?
5,23,0,6,5,37,3,62,19,5,0,7,?
4,17,0,6,5,29,2,46,13,5,0,6,?
5,16,0,4,4,26,2,43,11,4,0,7,?
4,10,0,4,4,18,1,27,5,4,0,6,?
4,13,0,3,3,22,2,36,9,3,0,6,?
3,7,0,3,3,14,1,20,3,3,0,5,?
31,62,0,18,11,104,0,218,26,3,0,34,?
31,62,0,18,11,104,0,218,26,3,0,34,?
30,60,0,16,10,100,0,213,25,3,0,33,?
30,60,0,16,10,100,0,213,25,3,0,33,?
31,62,0,18,11,104,0,218,26,3,0,34,?
30,60,0,16,10,100,0,213,25,3,0,33,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,16,10,100,0,213,25,3,0,33,?
29,58,0,14,9,96,0,208,24,3,0,32,?
31,62,0,17,11,103,0,218,26,3,0,34,?
31,62,0,17,11,103,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
30,60,0,15,10,99,0,213,25,3,0,33,?
31,62,0,17,11,103,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
31,62,0,15,11,101,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
29,58,0,13,9,95,0,208,24,3,0,32,?
31,62,0,17,11,103,0,218,26,3,0,34,?
31,62,0,17,11,103,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
30,60,0,15,10,99,0,213,25,3,0,33,?
31,62,0,17,11,103,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
31,62,0,15,11,101,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
29,58,0,13,9,95,0,208,24,3,0,32,?
31,62,0,16,11,102,0,218,26,3,0,34,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
