@relation training_10.arff

@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute STATEMENTS numeric
@attribute EQUAL numeric
@attribute GOTO numeric
@attribute IF numeric
@attribute FIELDS numeric
@attribute FIELDS_WRITTEN numeric
@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute THROWS numeric
@attribute class {hot,cold}

@data
2,2,8,2,3,3,0,0,11,2,0,0,?
2,5,12,3,4,4,2,0,19,4,0,0,?
3,8,16,3,5,5,4,0,27,6,0,0,?
3,8,16,3,5,5,4,0,27,6,0,0,?
0,0,5,1,2,2,0,0,5,2,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,3,5,0,0,0,2,0,9,3,0,0,?
9,10,25,2,4,2,4,0,46,7,0,0,?
9,10,24,2,3,2,4,0,45,7,0,0,?
6,7,17,1,1,1,4,0,33,7,0,0,?
1,2,6,0,2,1,0,0,6,1,0,0,?
1,2,5,0,1,1,0,0,6,1,0,0,?
11,13,23,3,4,3,2,0,36,4,2,0,?
3,6,12,2,2,2,2,0,17,4,1,0,?
1,3,8,1,1,1,1,0,10,3,1,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
1,4,7,0,2,1,3,1,6,3,0,0,?
0,2,4,0,1,1,2,0,4,2,0,0,?
5,8,12,0,0,0,3,1,17,4,1,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
1,0,4,0,0,0,0,0,4,2,0,0,?
3,3,8,0,0,0,0,0,12,2,2,0,?
18,23,35,2,5,4,3,0,57,5,3,0,?
12,17,27,2,5,4,2,0,43,4,2,0,?
11,16,25,2,4,3,2,0,40,4,2,0,?
10,15,23,2,3,2,2,0,37,4,2,0,?
18,23,34,2,4,4,3,0,56,5,3,0,?
12,17,26,2,4,4,2,0,42,4,2,0,?
11,16,24,2,3,3,2,0,39,4,2,0,?
10,15,22,2,2,2,2,0,36,4,2,0,?
10,11,19,1,3,1,1,0,29,3,1,0,?
11,10,20,1,2,1,0,0,30,2,2,0,?
2,2,6,0,0,0,1,0,8,2,0,0,?
4,9,15,3,4,4,0,0,27,4,0,0,?
7,16,26,5,8,7,0,0,47,6,0,0,?
5,11,20,3,6,5,0,0,32,3,1,1,?
5,13,22,4,7,6,0,0,39,5,0,0,?
3,8,16,2,5,4,0,0,24,2,1,1,?
2,4,9,1,2,2,0,0,12,1,1,1,?
2,2,6,1,1,1,0,0,7,1,1,1,?
13,16,21,0,0,0,3,0,38,5,2,0,?
7,8,12,0,0,0,1,0,20,2,2,0,?
4,11,16,2,3,2,0,0,29,1,1,0,?
2,7,10,1,1,1,0,0,15,1,1,0,?
4,4,8,0,0,0,0,0,12,1,1,0,?
0,0,6,0,1,1,0,0,6,4,0,0,?
1,4,13,1,3,3,0,0,23,4,1,0,?
1,2,11,1,3,3,0,0,18,4,0,0,?
1,2,10,1,2,2,0,0,16,4,1,0,?
1,5,6,0,0,0,4,3,4,4,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
4,4,9,0,1,0,0,0,11,1,1,0,?
3,4,7,0,0,0,0,0,11,1,0,0,?
1,0,5,0,0,0,0,0,6,3,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
2,1,4,0,0,0,0,0,4,1,0,0,?
5,6,8,0,0,0,1,1,11,1,1,0,?
7,35,49,1,4,3,26,15,73,31,2,0,?
7,35,48,1,3,3,26,15,73,31,2,0,?
7,34,48,1,4,3,25,14,72,30,2,0,?
