@relation training_50.arff

@attribute THROWS numeric
@attribute GOTO numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute LOCALS numeric
@attribute IF numeric
@attribute DEREFERNCES numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
0,6,27,12,13,28,6,3,1,2,0,6,?
0,7,27,10,13,28,7,4,1,3,0,7,?
0,6,31,16,15,33,6,3,0,2,0,6,?
0,5,23,10,11,25,5,2,0,1,0,5,?
0,7,19,2,9,20,7,4,1,3,0,7,?
0,7,23,6,11,24,7,4,1,3,0,7,?
0,6,15,0,7,16,6,3,1,2,0,6,?
0,6,15,0,7,17,6,3,0,2,0,6,?
0,6,23,8,11,24,6,3,1,2,0,6,?
0,5,15,2,7,16,5,2,1,1,0,5,?
0,6,15,0,7,16,6,3,1,2,0,6,?
0,5,19,6,9,21,5,2,0,1,0,5,?
0,4,11,0,5,13,4,1,0,0,0,4,?
0,4,14,2,7,15,4,4,1,3,0,4,?
0,4,49,26,35,75,4,8,1,7,4,4,?
0,3,10,0,5,11,3,3,1,2,0,3,?
0,3,10,0,5,12,3,3,0,2,0,3,?
0,4,52,28,37,79,4,8,1,7,4,4,?
0,3,13,2,7,15,3,3,1,2,0,3,?
0,4,13,0,7,15,4,4,1,3,0,4,?
0,3,48,26,35,76,3,7,0,6,4,3,?
0,2,9,0,5,12,2,2,0,1,0,2,?
0,5,18,6,7,18,3,2,0,1,0,1,?
0,3,13,5,5,12,2,2,0,1,0,1,?
0,0,3,1,0,1,0,1,0,0,0,0,?
0,3,18,4,10,23,2,5,2,3,3,0,?
0,0,3,1,1,3,0,0,0,0,1,0,?
0,3,8,2,2,11,3,2,0,0,0,2,?
0,5,16,3,8,27,5,6,0,4,0,3,?
0,2,5,0,0,5,2,2,0,0,0,1,?
0,0,3,1,0,2,0,1,0,0,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,4,25,9,10,46,2,7,0,4,0,2,?
0,1,17,6,7,33,1,7,0,4,0,1,?
0,1,5,1,2,6,1,1,0,0,0,0,?
0,2,12,3,6,17,2,4,0,2,1,2,?
0,0,3,1,0,2,0,1,0,0,0,0,?
0,1,4,0,2,4,1,2,0,2,0,0,?
0,0,3,1,0,2,0,1,0,0,0,0,?
0,6,45,21,29,67,4,3,0,0,5,4,?
0,8,57,27,35,88,6,3,0,0,7,5,?
0,8,56,26,35,86,6,3,0,0,7,5,?
0,6,40,17,25,58,4,3,0,0,4,4,?
0,8,52,23,31,79,6,3,0,0,6,5,?
0,8,51,22,31,77,6,3,0,0,6,5,?
0,0,6,2,2,7,0,2,0,1,0,0,?
0,5,35,18,23,57,4,5,0,3,3,2,?
0,4,25,11,16,40,3,4,0,2,2,2,?
0,4,34,18,23,56,4,5,0,3,3,2,?
0,3,24,11,16,39,3,4,0,2,2,2,?
0,3,19,10,11,29,1,3,0,1,1,1,?
0,0,6,2,2,8,0,2,0,1,0,0,?
0,8,26,7,16,47,7,6,0,0,0,5,?
0,7,22,5,13,39,6,5,0,0,0,4,?
1,2,9,2,4,12,2,1,0,0,1,1,?
0,2,5,1,1,5,2,1,0,0,0,1,?
0,8,21,5,10,31,6,3,0,0,0,2,?
0,8,30,11,18,50,7,5,0,1,1,2,?
0,8,21,5,11,33,7,3,0,0,0,2,?
0,4,11,3,5,15,4,1,0,0,0,1,?
0,0,21,13,16,38,0,5,0,3,2,0,?
0,3,16,4,11,29,2,1,0,0,1,2,?
0,0,8,4,4,12,0,1,0,0,1,0,?
0,3,13,1,4,23,3,4,0,0,1,1,?
0,2,10,1,2,16,2,4,0,0,1,1,?
0,0,1,0,0,0,0,0,0,0,0,0,?
0,0,7,3,4,11,0,1,0,0,0,0,?
0,0,3,1,0,2,0,1,0,0,0,0,?
0,0,8,5,6,11,0,1,1,1,1,0,?
0,3,48,7,35,73,3,31,15,26,2,1,?
0,3,47,7,34,72,3,30,14,25,2,1,?
0,3,47,7,34,72,3,30,14,25,2,1,?
0,3,46,7,33,71,3,29,13,24,2,1,?
0,11,56,11,40,103,9,15,2,14,0,2,?
0,15,69,12,47,125,13,21,3,20,0,3,?
0,14,66,11,46,121,12,20,3,19,0,2,?
0,17,79,14,54,148,14,23,4,22,0,2,?
0,18,76,12,52,141,16,22,3,21,0,3,?
0,14,63,12,44,117,12,16,2,15,0,2,?
0,18,76,13,51,139,16,22,3,21,0,3,?
0,17,73,12,50,135,15,21,3,20,0,2,?
