@relation observations_40.arff_clustered

@attribute Instance_number numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}
@attribute Cluster {cluster0,cluster1}

@data
263,0,2,0,8,0,2,10,2,2,0,1,4,?,cluster1
264,0,8,4,52,28,4,79,4,4,1,7,37,?,cluster1
265,0,4,0,15,2,4,17,4,4,1,3,8,?,cluster1
266,0,3,0,13,2,3,15,3,3,1,2,7,?,cluster1
267,0,8,4,50,26,4,77,4,4,1,7,36,?,cluster1
268,0,4,0,13,0,4,15,4,4,1,3,7,?,cluster1
269,0,3,0,11,0,3,13,3,3,1,2,6,?,cluster1
270,0,7,4,48,26,3,76,3,3,0,6,35,?,cluster1
271,0,3,0,11,0,3,14,3,3,0,2,6,?,cluster1
272,0,2,0,9,0,2,12,2,2,0,1,5,?,cluster1
273,0,1,0,6,4,0,5,0,0,0,0,0,?,cluster1
274,0,2,0,18,6,5,18,1,3,0,1,7,?,cluster1
275,0,2,0,17,6,4,18,1,3,0,1,7,?,cluster1
276,0,2,0,13,5,3,12,1,2,0,1,5,?,cluster1
277,0,2,0,12,5,2,12,1,2,0,1,5,?,cluster1
278,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster1
279,0,4,0,8,2,0,6,0,0,4,4,7,?,cluster1
280,0,5,3,18,4,3,23,0,2,2,3,10,?,cluster1
281,0,3,2,11,3,1,13,0,1,2,2,6,?,cluster1
282,0,0,1,3,1,0,3,0,0,0,0,1,?,cluster1
283,0,2,0,4,0,1,4,0,1,0,0,0,?,cluster1
284,0,2,0,8,2,3,11,2,3,0,0,2,?,cluster1
285,0,4,0,12,2,4,19,3,4,0,2,5,?,cluster1
286,0,6,0,16,3,5,27,3,5,0,4,8,?,cluster1
287,0,6,0,16,3,5,27,3,5,0,4,8,?,cluster1
288,0,2,0,5,0,2,5,1,2,0,0,0,?,cluster1
289,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
290,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
291,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
292,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster1
293,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
