@relation observations_10.arff_clustered

@attribute Instance_number numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}
@attribute Cluster {cluster0,cluster1}

@data
0,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster0
1,0,1,0,7,1,3,5,0,2,0,1,2,?,cluster0
2,0,1,0,3,0,1,2,0,1,0,1,1,?,cluster0
3,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster0
4,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster0
5,0,3,0,5,1,0,6,0,0,0,0,0,?,cluster0
6,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
7,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
8,0,3,1,5,0,0,7,0,0,0,2,3,?,cluster0
9,0,1,0,3,1,0,4,0,0,0,0,1,?,cluster0
10,0,0,4,14,7,0,21,0,0,0,0,8,?,cluster0
11,0,4,1,15,9,0,29,0,0,0,3,12,?,cluster0
12,0,4,0,6,1,0,5,0,0,3,3,3,?,cluster0
13,0,8,0,10,1,0,11,0,0,5,5,5,?,cluster0
14,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
15,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
16,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
17,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
18,0,3,1,9,4,0,16,0,0,0,2,6,?,cluster0
19,0,4,0,6,1,0,7,0,0,1,1,1,?,cluster0
20,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster0
21,0,7,1,24,8,3,36,0,2,0,3,13,?,cluster1
22,0,5,1,17,7,1,24,0,1,0,2,9,?,cluster0
23,0,6,1,28,7,4,50,0,2,1,1,15,?,cluster1
24,0,6,0,14,3,2,19,0,1,1,1,5,?,cluster0
25,1,1,2,11,6,0,19,0,0,0,0,7,?,cluster0
26,0,6,1,27,6,4,49,0,2,0,1,14,?,cluster1
27,0,6,0,13,2,2,18,0,1,0,1,4,?,cluster0
28,1,1,2,11,6,0,19,0,0,0,0,7,?,cluster0
29,0,4,1,23,14,2,43,1,1,0,0,14,?,cluster0
30,0,4,1,22,14,1,43,1,1,0,0,14,?,cluster0
31,0,17,0,26,8,0,41,0,0,0,16,16,?,cluster0
32,0,14,2,31,11,1,38,0,0,4,10,24,?,cluster0
33,1,1,2,10,5,0,16,0,0,0,0,6,?,cluster0
34,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
35,0,4,0,5,0,0,0,0,0,4,4,4,?,cluster0
36,0,5,0,7,1,0,8,0,0,2,2,2,?,cluster0
37,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
38,0,3,0,5,1,0,9,0,0,0,2,3,?,cluster0
39,0,3,0,5,1,0,7,0,0,0,2,2,?,cluster0
40,0,3,0,5,1,0,7,0,0,0,2,2,?,cluster0
41,0,1,1,5,2,0,7,0,0,0,0,2,?,cluster0
42,0,2,1,7,2,0,12,0,0,0,1,4,?,cluster0
43,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster0
44,0,1,0,7,1,3,6,0,2,0,1,2,?,cluster0
45,0,1,0,3,0,1,2,0,1,0,1,1,?,cluster0
46,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster0
47,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster0
48,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster0
49,0,3,0,5,1,0,6,0,0,0,0,0,?,cluster0
50,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
51,0,11,3,21,6,0,32,0,0,6,9,14,?,cluster0
52,0,4,0,7,0,1,9,0,1,1,2,3,?,cluster0
53,0,3,0,6,0,1,7,0,1,0,1,2,?,cluster0
54,0,7,1,16,2,1,26,0,1,1,4,9,?,cluster0
55,0,6,0,13,1,1,22,0,1,0,3,7,?,cluster0
56,0,7,1,16,2,1,26,0,1,1,4,9,?,cluster0
57,0,6,0,13,1,1,22,0,1,0,3,7,?,cluster0
58,0,9,2,30,12,1,58,0,1,0,4,18,?,cluster0
59,0,8,0,17,3,1,30,0,1,0,3,9,?,cluster0
60,0,24,3,45,11,0,84,0,0,1,19,30,?,cluster0
61,0,7,0,18,3,2,32,1,1,0,3,10,?,cluster0
62,0,8,1,21,5,1,39,1,1,0,4,11,?,cluster0
63,0,6,0,18,3,2,32,1,1,0,3,11,?,cluster0
64,0,7,1,21,5,1,39,1,1,0,4,12,?,cluster0
65,0,8,1,22,9,0,36,0,0,0,5,11,?,cluster0
66,0,21,5,49,17,2,84,1,2,1,20,28,?,cluster1
67,0,3,0,6,0,2,7,1,2,0,2,2,?,cluster0
68,0,20,5,47,17,1,81,0,1,1,19,27,?,cluster1
69,0,3,1,11,5,1,14,0,0,0,2,4,?,cluster0
70,0,2,0,5,1,0,5,0,0,0,1,2,?,cluster0
71,0,14,1,45,22,3,74,0,2,0,13,27,?,cluster1
72,0,13,1,35,17,1,54,0,1,0,12,20,?,cluster0
73,0,7,1,9,0,0,11,0,0,1,4,8,?,cluster0
74,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
75,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
76,0,2,1,8,3,0,10,0,0,1,1,4,?,cluster0
77,0,0,1,4,1,0,5,0,0,0,0,2,?,cluster0
78,0,2,0,4,0,1,4,0,1,0,0,0,?,cluster0
79,0,2,0,8,2,3,11,2,3,0,0,2,?,cluster1
80,0,4,0,12,2,4,19,3,4,0,2,5,?,cluster1
81,0,4,0,12,2,4,19,3,4,0,2,5,?,cluster1
82,0,2,0,5,0,2,5,1,2,0,0,0,?,cluster0
83,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
84,0,2,1,8,4,0,13,0,0,0,1,5,?,cluster0
85,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
86,0,8,4,51,28,4,77,4,4,1,7,36,?,cluster1
87,0,4,0,14,2,4,15,4,4,1,3,7,?,cluster1
88,0,3,0,12,2,3,13,3,3,1,2,6,?,cluster1
89,0,8,4,49,26,4,75,4,4,1,7,35,?,cluster1
90,0,4,0,12,0,4,13,4,4,1,3,6,?,cluster1
91,0,3,0,10,0,3,11,3,3,1,2,5,?,cluster1
92,0,7,4,47,26,3,74,3,3,0,6,34,?,cluster1
93,0,3,0,10,0,3,12,3,3,0,2,5,?,cluster1
94,0,2,0,8,0,2,10,2,2,0,1,4,?,cluster1
95,0,8,4,52,28,4,79,4,4,1,7,37,?,cluster1
96,0,4,0,15,2,4,17,4,4,1,3,8,?,cluster1
97,0,3,0,13,2,3,15,3,3,1,2,7,?,cluster1
98,0,8,4,50,26,4,77,4,4,1,7,36,?,cluster1
99,0,4,0,13,0,4,15,4,4,1,3,7,?,cluster1
100,0,3,0,11,0,3,13,3,3,1,2,6,?,cluster1
101,0,7,4,48,26,3,76,3,3,0,6,35,?,cluster1
102,0,3,0,11,0,3,14,3,3,0,2,6,?,cluster1
103,0,2,0,9,0,2,12,2,2,0,1,5,?,cluster1
104,0,1,0,6,4,0,5,0,0,0,0,0,?,cluster0
105,0,2,0,18,6,5,18,1,3,0,1,7,?,cluster1
106,0,2,0,17,6,4,18,1,3,0,1,7,?,cluster1
107,0,2,0,13,5,3,12,1,2,0,1,5,?,cluster1
108,0,2,0,12,5,2,12,1,2,0,1,5,?,cluster0
109,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster0
110,0,4,0,8,2,0,6,0,0,4,4,7,?,cluster0
111,0,5,3,18,4,3,23,0,2,2,3,10,?,cluster1
112,0,3,2,11,3,1,13,0,1,2,2,6,?,cluster0
113,0,0,1,3,1,0,3,0,0,0,0,1,?,cluster0
114,0,2,0,4,0,1,4,0,1,0,0,0,?,cluster0
115,0,2,0,8,2,3,11,2,3,0,0,2,?,cluster1
116,0,4,0,12,2,4,19,3,4,0,2,5,?,cluster1
117,0,6,0,16,3,5,27,3,5,0,4,8,?,cluster1
118,0,6,0,16,3,5,27,3,5,0,4,8,?,cluster1
119,0,2,0,5,0,2,5,1,2,0,0,0,?,cluster0
120,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
121,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
122,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
123,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
124,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
